,Date,Time,Temperature,Weather,Wind Speed,Wind Direction,Humidity,Barometer,Visibility
1900,2022-03-16,"0:00mar, 1 de mar",19 °C,Clear.,26 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,16 km
1901,2022-03-16,1:00,18 °C,Passing clouds.,19 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,
1902,2022-03-16,2:00,17 °C,Clear.,15 km/h,Wind blowing from 140° Southeast to Northwest,59%,1016 mbar,16 km
1903,2022-03-16,3:00,17 °C,Passing clouds.,11 km/h,Wind blowing from 140° Southeast to Northwest,68%,1015 mbar,
1910,2022-03-16,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
1905,2022-03-16,5:00,20 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,64%,1015 mbar,16 km
1906,2022-03-16,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
1907,2022-03-16,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
1908,2022-03-16,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
1904,2022-03-16,4:00,19 °C,Clear.,13 km/h,Wind blowing from 80° East to West,60%,1015 mbar,16 km
1937,2022-03-17,13:00,23 °C,Passing clouds.,22 km/h,Wind blowing from 0° North to South,57%,1014 mbar,
1938,2022-03-17,14:00,24 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1013 mbar,16 km
1939,2022-03-17,15:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1012 mbar,16 km
1940,2022-03-17,16:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,51%,1011 mbar,16 km
1941,2022-03-17,17:00,25 °C,Sunny.,22 km/h,Wind blowing from 0° North to South,51%,1010 mbar,16 km
1943,2022-03-17,19:00,24 °C,Sunny.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,61%,1009 mbar,16 km
1944,2022-03-17,20:00,23 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1009 mbar,16 km
1945,2022-03-17,21:00,23 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,69%,1010 mbar,16 km
1936,2022-03-17,12:00,22 °C,Passing clouds.,19 km/h,Wind blowing from 350° North to South,65%,1015 mbar,
1947,2022-03-17,23:00,22 °C,Clear.,17 km/h,Wind blowing from 320° Northwest to Southeast,73%,1010 mbar,16 km
1942,2022-03-17,18:00,25 °C,Sunny.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,57%,1010 mbar,16 km
1946,2022-03-17,22:00,21 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1010 mbar,16 km
1935,2022-03-17,11:00,21 °C,Passing clouds.,20 km/h,Wind blowing from 340° North-northwest to South-southeast,64%,1015 mbar,
1933,2022-03-17,9:00,20 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,53%,1016 mbar,16 km
1932,2022-03-17,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
1931,2022-03-17,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
1930,2022-03-17,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
1929,2022-03-17,5:00,20 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,64%,1015 mbar,16 km
1928,2022-03-17,4:00,19 °C,Clear.,13 km/h,Wind blowing from 80° East to West,60%,1015 mbar,16 km
1927,2022-03-17,3:00,17 °C,Passing clouds.,11 km/h,Wind blowing from 140° Southeast to Northwest,68%,1015 mbar,
1926,2022-03-17,2:00,17 °C,Clear.,15 km/h,Wind blowing from 140° Southeast to Northwest,59%,1016 mbar,16 km
1925,2022-03-17,1:00,18 °C,Passing clouds.,19 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,
1924,2022-03-17,"0:00mar, 1 de mar",19 °C,Clear.,26 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,16 km
1934,2022-03-17,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
1961,2022-03-18,13:00,23 °C,Passing clouds.,22 km/h,Wind blowing from 0° North to South,57%,1014 mbar,
1962,2022-03-18,14:00,24 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1013 mbar,16 km
1963,2022-03-18,15:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1012 mbar,16 km
1964,2022-03-18,16:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,51%,1011 mbar,16 km
1965,2022-03-18,17:00,25 °C,Sunny.,22 km/h,Wind blowing from 0° North to South,51%,1010 mbar,16 km
1960,2022-03-18,12:00,22 °C,Passing clouds.,19 km/h,Wind blowing from 350° North to South,65%,1015 mbar,
1967,2022-03-18,19:00,24 °C,Sunny.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,61%,1009 mbar,16 km
1968,2022-03-18,20:00,23 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1009 mbar,16 km
1970,2022-03-18,22:00,21 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1010 mbar,16 km
1971,2022-03-18,23:00,22 °C,Clear.,17 km/h,Wind blowing from 320° Northwest to Southeast,73%,1010 mbar,16 km
1966,2022-03-18,18:00,25 °C,Sunny.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,57%,1010 mbar,16 km
1959,2022-03-18,11:00,21 °C,Passing clouds.,20 km/h,Wind blowing from 340° North-northwest to South-southeast,64%,1015 mbar,
1969,2022-03-18,21:00,23 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,69%,1010 mbar,16 km
1957,2022-03-18,9:00,20 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,53%,1016 mbar,16 km
1956,2022-03-18,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
1955,2022-03-18,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
1954,2022-03-18,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
1953,2022-03-18,5:00,20 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,64%,1015 mbar,16 km
1952,2022-03-18,4:00,19 °C,Clear.,13 km/h,Wind blowing from 80° East to West,60%,1015 mbar,16 km
1951,2022-03-18,3:00,17 °C,Passing clouds.,11 km/h,Wind blowing from 140° Southeast to Northwest,68%,1015 mbar,
1950,2022-03-18,2:00,17 °C,Clear.,15 km/h,Wind blowing from 140° Southeast to Northwest,59%,1016 mbar,16 km
1949,2022-03-18,1:00,18 °C,Passing clouds.,19 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,
1948,2022-03-18,"0:00mar, 1 de mar",19 °C,Clear.,26 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,16 km
1958,2022-03-18,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
1986,2022-03-19,14:00,24 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1013 mbar,16 km
1987,2022-03-19,15:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1012 mbar,16 km
1988,2022-03-19,16:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,51%,1011 mbar,16 km
1989,2022-03-19,17:00,25 °C,Sunny.,22 km/h,Wind blowing from 0° North to South,51%,1010 mbar,16 km
1990,2022-03-19,18:00,25 °C,Sunny.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,57%,1010 mbar,16 km
1985,2022-03-19,13:00,23 °C,Passing clouds.,22 km/h,Wind blowing from 0° North to South,57%,1014 mbar,
1992,2022-03-19,20:00,23 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1009 mbar,16 km
1993,2022-03-19,21:00,23 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,69%,1010 mbar,16 km
1994,2022-03-19,22:00,21 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1010 mbar,16 km
1995,2022-03-19,23:00,22 °C,Clear.,17 km/h,Wind blowing from 320° Northwest to Southeast,73%,1010 mbar,16 km
1991,2022-03-19,19:00,24 °C,Sunny.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,61%,1009 mbar,16 km
1984,2022-03-19,12:00,22 °C,Passing clouds.,19 km/h,Wind blowing from 350° North to South,65%,1015 mbar,
1974,2022-03-19,2:00,17 °C,Clear.,15 km/h,Wind blowing from 140° Southeast to Northwest,59%,1016 mbar,16 km
1982,2022-03-19,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
1981,2022-03-19,9:00,20 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,53%,1016 mbar,16 km
1980,2022-03-19,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
1979,2022-03-19,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
1978,2022-03-19,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
1977,2022-03-19,5:00,20 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,64%,1015 mbar,16 km
1976,2022-03-19,4:00,19 °C,Clear.,13 km/h,Wind blowing from 80° East to West,60%,1015 mbar,16 km
1975,2022-03-19,3:00,17 °C,Passing clouds.,11 km/h,Wind blowing from 140° Southeast to Northwest,68%,1015 mbar,
1983,2022-03-19,11:00,21 °C,Passing clouds.,20 km/h,Wind blowing from 340° North-northwest to South-southeast,64%,1015 mbar,
1973,2022-03-19,1:00,18 °C,Passing clouds.,19 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,
1972,2022-03-19,"0:00mar, 1 de mar",19 °C,Clear.,26 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,16 km
2010,2022-03-20,14:00,24 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1013 mbar,16 km
2011,2022-03-20,15:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1012 mbar,16 km
2012,2022-03-20,16:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,51%,1011 mbar,16 km
2013,2022-03-20,17:00,25 °C,Sunny.,22 km/h,Wind blowing from 0° North to South,51%,1010 mbar,16 km
2014,2022-03-20,18:00,25 °C,Sunny.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,57%,1010 mbar,16 km
2019,2022-03-20,23:00,22 °C,Clear.,17 km/h,Wind blowing from 320° Northwest to Southeast,73%,1010 mbar,16 km
2016,2022-03-20,20:00,23 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1009 mbar,16 km
2017,2022-03-20,21:00,23 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,69%,1010 mbar,16 km
2018,2022-03-20,22:00,21 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1010 mbar,16 km
2009,2022-03-20,13:00,23 °C,Passing clouds.,22 km/h,Wind blowing from 0° North to South,57%,1014 mbar,
2015,2022-03-20,19:00,24 °C,Sunny.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,61%,1009 mbar,16 km
2008,2022-03-20,12:00,22 °C,Passing clouds.,19 km/h,Wind blowing from 350° North to South,65%,1015 mbar,
2007,2022-03-20,11:00,21 °C,Passing clouds.,20 km/h,Wind blowing from 340° North-northwest to South-southeast,64%,1015 mbar,
2006,2022-03-20,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
2005,2022-03-20,9:00,20 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,53%,1016 mbar,16 km
2004,2022-03-20,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
2003,2022-03-20,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
2002,2022-03-20,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
2001,2022-03-20,5:00,20 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,64%,1015 mbar,16 km
2000,2022-03-20,4:00,19 °C,Clear.,13 km/h,Wind blowing from 80° East to West,60%,1015 mbar,16 km
1999,2022-03-20,3:00,17 °C,Passing clouds.,11 km/h,Wind blowing from 140° Southeast to Northwest,68%,1015 mbar,
1998,2022-03-20,2:00,17 °C,Clear.,15 km/h,Wind blowing from 140° Southeast to Northwest,59%,1016 mbar,16 km
1997,2022-03-20,1:00,18 °C,Passing clouds.,19 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,
1996,2022-03-20,"0:00mar, 1 de mar",19 °C,Clear.,26 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,16 km
2033,2022-03-21,13:00,23 °C,Passing clouds.,22 km/h,Wind blowing from 0° North to South,57%,1014 mbar,
2034,2022-03-21,14:00,24 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1013 mbar,16 km
2035,2022-03-21,15:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1012 mbar,16 km
2036,2022-03-21,16:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,51%,1011 mbar,16 km
2037,2022-03-21,17:00,25 °C,Sunny.,22 km/h,Wind blowing from 0° North to South,51%,1010 mbar,16 km
2042,2022-03-21,22:00,21 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1010 mbar,16 km
2039,2022-03-21,19:00,24 °C,Sunny.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,61%,1009 mbar,16 km
2040,2022-03-21,20:00,23 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1009 mbar,16 km
2041,2022-03-21,21:00,23 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,69%,1010 mbar,16 km
2032,2022-03-21,12:00,22 °C,Passing clouds.,19 km/h,Wind blowing from 350° North to South,65%,1015 mbar,
2038,2022-03-21,18:00,25 °C,Sunny.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,57%,1010 mbar,16 km
2031,2022-03-21,11:00,21 °C,Passing clouds.,20 km/h,Wind blowing from 340° North-northwest to South-southeast,64%,1015 mbar,
2043,2022-03-21,23:00,22 °C,Clear.,17 km/h,Wind blowing from 320° Northwest to Southeast,73%,1010 mbar,16 km
2029,2022-03-21,9:00,20 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,53%,1016 mbar,16 km
2028,2022-03-21,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
2027,2022-03-21,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
2026,2022-03-21,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
2025,2022-03-21,5:00,20 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,64%,1015 mbar,16 km
2024,2022-03-21,4:00,19 °C,Clear.,13 km/h,Wind blowing from 80° East to West,60%,1015 mbar,16 km
2023,2022-03-21,3:00,17 °C,Passing clouds.,11 km/h,Wind blowing from 140° Southeast to Northwest,68%,1015 mbar,
2022,2022-03-21,2:00,17 °C,Clear.,15 km/h,Wind blowing from 140° Southeast to Northwest,59%,1016 mbar,16 km
2021,2022-03-21,1:00,18 °C,Passing clouds.,19 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,
2020,2022-03-21,"0:00mar, 1 de mar",19 °C,Clear.,26 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,16 km
2030,2022-03-21,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
2057,2022-03-22,13:00,23 °C,Passing clouds.,22 km/h,Wind blowing from 0° North to South,57%,1014 mbar,
2058,2022-03-22,14:00,24 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1013 mbar,16 km
2059,2022-03-22,15:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1012 mbar,16 km
2060,2022-03-22,16:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,51%,1011 mbar,16 km
2061,2022-03-22,17:00,25 °C,Sunny.,22 km/h,Wind blowing from 0° North to South,51%,1010 mbar,16 km
2066,2022-03-22,22:00,21 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1010 mbar,16 km
2063,2022-03-22,19:00,24 °C,Sunny.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,61%,1009 mbar,16 km
2064,2022-03-22,20:00,23 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1009 mbar,16 km
2065,2022-03-22,21:00,23 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,69%,1010 mbar,16 km
2056,2022-03-22,12:00,22 °C,Passing clouds.,19 km/h,Wind blowing from 350° North to South,65%,1015 mbar,
2062,2022-03-22,18:00,25 °C,Sunny.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,57%,1010 mbar,16 km
2055,2022-03-22,11:00,21 °C,Passing clouds.,20 km/h,Wind blowing from 340° North-northwest to South-southeast,64%,1015 mbar,
2067,2022-03-22,23:00,22 °C,Clear.,17 km/h,Wind blowing from 320° Northwest to Southeast,73%,1010 mbar,16 km
2053,2022-03-22,9:00,20 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,53%,1016 mbar,16 km
2044,2022-03-22,"0:00mar, 1 de mar",19 °C,Clear.,26 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,16 km
2045,2022-03-22,1:00,18 °C,Passing clouds.,19 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,
2046,2022-03-22,2:00,17 °C,Clear.,15 km/h,Wind blowing from 140° Southeast to Northwest,59%,1016 mbar,16 km
2047,2022-03-22,3:00,17 °C,Passing clouds.,11 km/h,Wind blowing from 140° Southeast to Northwest,68%,1015 mbar,
2054,2022-03-22,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
2049,2022-03-22,5:00,20 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,64%,1015 mbar,16 km
2050,2022-03-22,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
2051,2022-03-22,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
2052,2022-03-22,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
2048,2022-03-22,4:00,19 °C,Clear.,13 km/h,Wind blowing from 80° East to West,60%,1015 mbar,16 km
2081,2022-03-23,13:00,23 °C,Passing clouds.,22 km/h,Wind blowing from 0° North to South,57%,1014 mbar,
2082,2022-03-23,14:00,24 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1013 mbar,16 km
2083,2022-03-23,15:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1012 mbar,16 km
2084,2022-03-23,16:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,51%,1011 mbar,16 km
2085,2022-03-23,17:00,25 °C,Sunny.,22 km/h,Wind blowing from 0° North to South,51%,1010 mbar,16 km
2087,2022-03-23,19:00,24 °C,Sunny.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,61%,1009 mbar,16 km
2088,2022-03-23,20:00,23 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1009 mbar,16 km
2089,2022-03-23,21:00,23 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,69%,1010 mbar,16 km
2080,2022-03-23,12:00,22 °C,Passing clouds.,19 km/h,Wind blowing from 350° North to South,65%,1015 mbar,
2091,2022-03-23,23:00,22 °C,Clear.,17 km/h,Wind blowing from 320° Northwest to Southeast,73%,1010 mbar,16 km
2086,2022-03-23,18:00,25 °C,Sunny.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,57%,1010 mbar,16 km
2090,2022-03-23,22:00,21 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1010 mbar,16 km
2079,2022-03-23,11:00,21 °C,Passing clouds.,20 km/h,Wind blowing from 340° North-northwest to South-southeast,64%,1015 mbar,
2077,2022-03-23,9:00,20 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,53%,1016 mbar,16 km
2076,2022-03-23,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
2075,2022-03-23,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
2074,2022-03-23,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
2073,2022-03-23,5:00,20 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,64%,1015 mbar,16 km
2072,2022-03-23,4:00,19 °C,Clear.,13 km/h,Wind blowing from 80° East to West,60%,1015 mbar,16 km
2071,2022-03-23,3:00,17 °C,Passing clouds.,11 km/h,Wind blowing from 140° Southeast to Northwest,68%,1015 mbar,
2070,2022-03-23,2:00,17 °C,Clear.,15 km/h,Wind blowing from 140° Southeast to Northwest,59%,1016 mbar,16 km
2069,2022-03-23,1:00,18 °C,Passing clouds.,19 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,
2068,2022-03-23,"0:00mar, 1 de mar",19 °C,Clear.,26 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,16 km
2078,2022-03-23,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
2106,2022-03-24,14:00,24 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1013 mbar,16 km
2107,2022-03-24,15:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1012 mbar,16 km
2108,2022-03-24,16:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,51%,1011 mbar,16 km
2109,2022-03-24,17:00,25 °C,Sunny.,22 km/h,Wind blowing from 0° North to South,51%,1010 mbar,16 km
2110,2022-03-24,18:00,25 °C,Sunny.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,57%,1010 mbar,16 km
2105,2022-03-24,13:00,23 °C,Passing clouds.,22 km/h,Wind blowing from 0° North to South,57%,1014 mbar,
2112,2022-03-24,20:00,23 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1009 mbar,16 km
2113,2022-03-24,21:00,23 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,69%,1010 mbar,16 km
2114,2022-03-24,22:00,21 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1010 mbar,16 km
2115,2022-03-24,23:00,22 °C,Clear.,17 km/h,Wind blowing from 320° Northwest to Southeast,73%,1010 mbar,16 km
2111,2022-03-24,19:00,24 °C,Sunny.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,61%,1009 mbar,16 km
2104,2022-03-24,12:00,22 °C,Passing clouds.,19 km/h,Wind blowing from 350° North to South,65%,1015 mbar,
2103,2022-03-24,11:00,21 °C,Passing clouds.,20 km/h,Wind blowing from 340° North-northwest to South-southeast,64%,1015 mbar,
2102,2022-03-24,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
2101,2022-03-24,9:00,20 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,53%,1016 mbar,16 km
2100,2022-03-24,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
2099,2022-03-24,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
2098,2022-03-24,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
2097,2022-03-24,5:00,20 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,64%,1015 mbar,16 km
2096,2022-03-24,4:00,19 °C,Clear.,13 km/h,Wind blowing from 80° East to West,60%,1015 mbar,16 km
2095,2022-03-24,3:00,17 °C,Passing clouds.,11 km/h,Wind blowing from 140° Southeast to Northwest,68%,1015 mbar,
2094,2022-03-24,2:00,17 °C,Clear.,15 km/h,Wind blowing from 140° Southeast to Northwest,59%,1016 mbar,16 km
2093,2022-03-24,1:00,18 °C,Passing clouds.,19 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,
2092,2022-03-24,"0:00mar, 1 de mar",19 °C,Clear.,26 km/h,Wind blowing from 140° Southeast to Northwest,52%,1016 mbar,16 km
2130,2022-03-25,14:00,24 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1013 mbar,16 km
2131,2022-03-25,15:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,54%,1012 mbar,16 km
2132,2022-03-25,16:00,25 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,51%,1011 mbar,16 km
2133,2022-03-25,17:00,25 °C,Sunny.,22 km/h,Wind blowing from 0° North to South,51%,1010 mbar,16 km
2134,2022-03-25,18:00,25 °C,Sunny.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,57%,1010 mbar,16 km
2139,2022-03-25,23:00,22 °C,Clear.,17 km/h,Wind blowing from 320° Northwest to Southeast,73%,1010 mbar,16 km
2136,2022-03-25,20:00,23 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1009 mbar,16 km
2137,2022-03-25,21:00,23 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,69%,1010 mbar,16 km
2138,2022-03-25,22:00,21 °C,Clear.,13 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1010 mbar,16 km
2129,2022-03-25,13:00,23 °C,Passing clouds.,22 km/h,Wind blowing from 0° North to South,57%,1014 mbar,
2135,2022-03-25,19:00,24 °C,Sunny.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,61%,1009 mbar,16 km
2128,2022-03-25,12:00,22 °C,Passing clouds.,19 km/h,Wind blowing from 350° North to South,65%,1015 mbar,
2127,2022-03-25,11:00,21 °C,Passing clouds.,20 km/h,Wind blowing from 340° North-northwest to South-southeast,64%,1015 mbar,
2126,2022-03-25,10:00,21 °C,Sunny.,22 km/h,Wind blowing from 350° North to South,60%,1016 mbar,16 km
2125,2022-03-25,9:00,20 °C,Sunny.,20 km/h,Wind blowing from 0° North to South,53%,1016 mbar,16 km
2124,2022-03-25,8:00,20 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,56%,1015 mbar,
2123,2022-03-25,7:00,19 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,64%,1015 mbar,
2122,2022-03-25,6:00,19 °C,Passing clouds.,11 km/h,Wind blowing from 30° North-northeast to South-southwest,68%,1015 mbar,
